,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
0,0.0,3855.9530797732177
1,0.001,3855.861152795658
2,0.002,3855.783873417396
3,0.003,3855.6981670645023
4,0.004,3855.6114516164
5,0.005,3855.523416252282
6,0.006,3855.4348334757055
7,0.007,3855.3459172208304
8,0.008,3855.2568278175886
9,0.009,3855.167642447745
10,0.01,3855.0784050171046
11,0.011,3854.98913885057
12,0.012,3854.899856681147
13,0.013,3854.810565383993
14,0.014,3854.721268687681
15,0.015,3854.6319686108
16,0.016,3854.5426662469736
17,0.017,3854.4533621885935
18,0.018,3854.3640567566968
19,0.019,3854.274750125228
20,0.02,3854.1854423885434
21,0.021,3854.096133597883
22,0.022,3854.0068237811433
23,0.023,3853.917512953549
24,0.024,3853.8282011234874
25,0.025,3853.7388882956266
26,0.026,3853.6495744726335
27,0.027,3853.560259656098
28,0.028,3853.47094384699
29,0.029,3853.381627045997
30,0.03,3853.292309253604
31,0.031,3853.2029904702063
32,0.032,3853.113670696167
33,0.033,3853.024349931805
34,0.034,3852.9350281774337
35,0.035,3852.8457054333367
36,0.036,3852.756381699835
37,0.037,3852.667056977217
38,0.038,3852.57773126576
39,0.039,3852.488404565768
40,0.04,3852.399076877523
41,0.041,3852.30974820133
42,0.042,3852.220418537457
43,0.043,3852.131087886221
44,0.044,3852.041756247891
45,0.045,3851.952423622765
46,0.046,3851.863090011129
47,0.047,3851.7737554132696
48,0.048,3851.684419829486
49,0.049,3851.595083260063
50,0.05,3851.505745705288
51,0.051,3851.416407165457
52,0.052,3851.327067640844
53,0.053,3851.237727131757
54,0.054,3851.148385638453
55,0.055,3851.0590431612586
56,0.056,3850.96969970044
57,0.057,3850.8803552562895
58,0.058,3850.791009829087
59,0.059,3850.701663419135
60,0.06,3850.6123160267152
61,0.061,3850.522967652106
62,0.062,3850.433618295607
63,0.063,3850.3442679574937
64,0.064,3850.254916638061
65,0.065,3850.165564337599
66,0.066,3850.076211056392
67,0.067,3849.986856794721
68,0.068,3849.897501552875
69,0.069,3849.808145331129
70,0.07,3849.718788129792
71,0.071,3849.629429949142
72,0.072,3849.540070789456
73,0.073,3849.450710651025
74,0.074,3849.361349534133
75,0.075,3849.271987439072
76,0.076,3849.182624366118
77,0.077,3849.0932603155593
78,0.078,3849.003895287684
79,0.079,3848.91452928277
80,0.08,3848.825162301111
81,0.081,3848.735794342991
82,0.082,3848.646425408682
83,0.083,3848.557055498484
84,0.084,3848.467684612664
85,0.085,3848.3783127515208
86,0.086,3848.2889399153246
87,0.087,3848.1995661043743
88,0.088,3848.1101913189486
89,0.089,3848.0208155593255
90,0.09,3847.9314388257953
91,0.091,3847.842061118624
92,0.092,3847.752682438119
93,0.093,3847.663302784545
94,0.094,3847.573922158196
95,0.095,3847.4845405593423
96,0.096,3847.395157988277
97,0.097,3847.305774445284
98,0.098,3847.216389930629
99,0.099,3847.127004444608
100,0.1,3847.0376179874993
101,0.101,3846.948230559589
102,0.102,3846.858842161146
103,0.103,3846.769452792471
104,0.104,3846.6800624538255
105,0.105,3846.590671145491
106,0.106,3846.501278867776
107,0.107,3846.41188562093
108,0.108,3846.32249140524
109,0.109,3846.233096221004
110,0.11,3846.14370006848
