,"Time      (s) efficiency_9,800e-01","Thrust    (N) efficiency_9,800e-01"
0,0.0,3768.407441697766
1,0.001,3768.317585368317
2,0.002,3768.24194722221
3,0.003,3768.158011843699
4,0.004,3768.073058624393
5,0.005,3767.9867977871354
6,0.006,3767.8999924253294
7,0.007,3767.812855936437
8,0.008,3767.72554738874
9,0.009,3767.638143502677
10,0.01,3767.550687891872
11,0.011,3767.46320373538
12,0.012,3767.375703686259
13,0.013,3767.288194577514
14,0.014,3767.2006801151488
15,0.015,3767.11316230574
16,0.016,3767.025642236514
17,0.017,3766.938120496464
18,0.018,3766.850597404773
19,0.019,3766.763073134443
20,0.02,3766.6755477793063
21,0.021,3766.588021390328
22,0.022,3766.500493995243
23,0.023,3766.4129656092
24,0.024,3766.325436240535
25,0.025,3766.2379058938927
26,0.026,3766.150374571934
27,0.027,3766.0628422761993
28,0.028,3765.975309007691
29,0.029,3765.887774767064
30,0.03,3765.800239554797
31,0.031,3765.7127033713055
32,0.032,3765.625166216919
33,0.033,3765.537628091961
34,0.034,3765.4500889967376
35,0.035,3765.362548931525
36,0.036,3765.27500789664
37,0.037,3765.187465892366
38,0.038,3765.099922918973
39,0.039,3765.012378976764
40,0.04,3764.9248340660047
41,0.041,3764.837288186997
42,0.042,3764.749741340013
43,0.043,3764.662193525357
44,0.044,3764.57464474329
45,0.045,3764.4870949941087
46,0.046,3764.3995442780943
47,0.047,3764.3119925955302
48,0.048,3764.22443994669
49,0.049,3764.1368863318776
50,0.05,3764.049331751364
51,0.051,3763.9617762054377
52,0.052,3763.8742196943695
53,0.053,3763.7866622184606
54,0.054,3763.6991037779726
55,0.055,3763.611544373206
56,0.056,3763.523984004436
57,0.057,3763.436422671949
58,0.058,3763.3488603760097
59,0.059,3763.261297116924
60,0.06,3763.173732894962
61,0.061,3763.0861677104112
62,0.062,3762.99860156354
63,0.063,3762.9110344546352
64,0.064,3762.8234663839794
65,0.065,3762.735897351862
66,0.066,3762.648327358563
67,0.067,3762.560756404352
68,0.068,3762.4731844895136
69,0.069,3762.3856116143215
70,0.07,3762.2980377790777
71,0.071,3762.210462984045
72,0.072,3762.1228872295096
73,0.073,3762.035310515748
74,0.074,3761.947732843037
75,0.075,3761.860154211668
76,0.076,3761.7725746219103
77,0.077,3761.684994074045
78,0.078,3761.597412568355
79,0.079,3761.5098301051135
80,0.08,3761.4222466846095
81,0.081,3761.3346623071134
82,0.082,3761.247076972901
83,0.083,3761.159490682267
84,0.084,3761.0719034354615
85,0.085,3760.984315232792
86,0.086,3760.896726074524
87,0.087,3760.809135960929
88,0.088,3760.721544892293
89,0.089,3760.633952868897
90,0.09,3760.546359891015
91,0.091,3760.458765958912
92,0.092,3760.3711710728926
93,0.093,3760.283575233208
94,0.094,3760.195978440146
95,0.095,3760.108380693983
96,0.096,3760.020781994994
97,0.097,3759.9331823434577
98,0.098,3759.8455817396566
99,0.099,3759.757980183853
100,0.1,3759.670377676328
101,0.101,3759.582774217368
102,0.102,3759.495169807233
103,0.103,3759.407564446208
104,0.104,3759.319958134574
