,"Time      (s) at_1,400e-03","Thrust    (N) at_1,400e-03","P comb (psia) at_1,400e-03","P crit (psia) at_1,400e-03"
0,0.0,4645.6497905833685,341.7608158084669,484.14255978576057
1,0.001,4645.520941015308,341.76151645253344,484.1187808464804
2,0.002,4645.421587275638,341.76034344027545,484.0985732212471
3,0.003,4645.311940540123,341.75712756256024,484.0774984440519
4,0.004,4645.2025949717045,341.7526425472414,484.0566364359419
5,0.005,4645.091617622436,341.74721790379505,484.0357244270044
6,0.006,4644.979934745769,341.7411394264826,484.0148263580316
7,0.007,4644.867643135507,341.7345962444001,483.9939266686417
8,0.008,4644.754946972785,341.72772516690105,483.97302914514273
9,0.009,4644.641957530015,341.7206221283518,483.95213286556
10,0.01,4644.52876149738,341.7133551203602,483.9312380538035
11,0.011,4644.415418190494,341.7059721537886,483.9103446548871
12,0.012,4644.301970010611,341.69850717324334,483.8894526817115
13,0.013,4644.188446811369,341.69098416769083,483.86856213065016
14,0.014,4644.074869721932,341.68342009281474,483.8476730021007
15,0.015,4643.961253669943,341.6758269324546,483.826785295482
16,0.016,4643.847609208274,341.6682131565839,483.8058990104511
17,0.017,4643.733943795673,341.6605847515865,483.7850141466057
18,0.018,4643.6202627045,341.6529459485142,483.7641307035603
19,0.019,4643.506569661652,341.64529973777223,483.74324868092594
20,0.02,4643.392867301701,341.63764823290506,483.7223680783121
21,0.021,4643.279157487217,341.6299929277185,483.70148889532993
22,0.022,4643.165441535118,341.6223348780109,483.68061113159257
23,0.023,4643.051720376649,341.6146748300081,483.65973478670907
24,0.024,4642.937994670501,341.6070133111417,483.6388598602933
25,0.025,4642.824264882692,341.5993506942056,483.6179863519554
26,0.026,4642.710531343105,341.5916872427088,483.5971142613103
27,0.027,4642.596794285351,341.58402314291504,483.5762435879657
28,0.028,4642.48305387506,341.57635852649594,483.5553743315377
29,0.029,4642.369310229763,341.5686934865396,483.5345064916364
30,0.03,4642.255563433048,341.5610280888791,483.51364006787696
31,0.031,4642.14181354447,341.55336238006686,483.4927750598716
32,0.032,4642.02806060658,341.5456963930322,483.4719114672298
33,0.033,4641.914304650019,341.53803015108633,483.4510492895704
34,0.034,4641.800545696882,341.53036367073923,483.4301885265031
35,0.035,4641.686783763291,341.5226969636887,483.40932917764303
36,0.036,4641.573018861125,341.51503003823296,483.38847124260303
37,0.037,4641.45925099929,341.5073629002684,483.3676147209986
38,0.038,4641.345480184556,341.4996955540045,483.3467596124416
39,0.039,4641.231706422212,341.4920280024415,483.32590591654736
40,0.04,4641.117929716488,341.48436024773747,483.3050536329301
41,0.041,4641.004150070862,341.47669229144674,483.2842027612057
42,0.042,4640.89036748828,341.46902413470474,483.2633533009872
43,0.043,4640.776581971323,341.4613557783429,483.24250525189103
44,0.044,4640.662793522289,341.4536872229817,483.2216586135309
45,0.045,4640.549002143332,341.44601846909984,483.2008133855233
46,0.046,4640.435207836419,341.4383495170605,483.1799695674836
47,0.047,4640.321410603458,341.4306803671573,483.15912715902687
48,0.048,4640.207610446267,341.4230110196289,483.13828615976735
49,0.049,4640.0938073666575,341.4153414746785,483.1174465693246
50,0.05,4639.980001366372,341.40767173248537,483.0966083873122
51,0.051,4639.866192447139,341.4000017932097,483.0757716133479
52,0.052,4639.752380610651,341.3923316569879,483.05493624704656
53,0.053,4639.638565858635,341.38466132396286,483.0341022880269
54,0.054,4639.524748192756,341.3769907942564,483.0132697359034
55,0.055,4639.410927614697,341.3693200679894,482.9924385902952
56,0.056,4639.297104126146,341.3616491452904,482.971608850818
57,0.057,4639.18327772877,341.35397802627307,482.9507805170898
58,0.058,4639.069448424248,341.34630671105646,482.92995358872855
59,0.059,4638.955616214236,341.33863519975324,482.9091280653508
60,0.06,4638.841781100405,341.33096349247654,482.8883039465749
61,0.061,4638.727943084433,341.3232915893492,482.86748123202
62,0.062,4638.6141021679705,341.3156194904767,482.8466599213028
63,0.063,4638.500258352669,341.30794719596867,482.8258400140416
64,0.064,4638.386411640207,341.3002747059418,482.8050215098559
65,0.065,4638.272562032234,341.2926020205071,482.78420440836345
66,0.066,4638.158709530415,341.2849291397791,482.7633887091834
67,0.067,4638.044854136412,341.2772560638688,482.7425744119355
68,0.068,4637.930995851865,341.26958279288544,482.7217615162377
69,0.069,4637.81713467846,341.2619093269448,482.7009500217116
70,0.07,4637.7032706178215,341.2542356661551,482.6801399279748
71,0.071,4637.589403671617,341.2465618106294,482.6593312346465
72,0.072,4637.47553384151,341.23888776048324,482.6385239413478
73,0.073,4637.361661129138,341.2312135158229,482.61771804769865
74,0.074,4637.247785536148,341.2235390767595,482.5969135533188
75,0.075,4637.133907064208,341.2158644434061,482.57611045782863
76,0.076,4637.020025714965,341.2081896158734,482.5553087608503
77,0.077,4636.906141490071,341.200514594279,482.53450846200224
78,0.078,4636.792254391153,341.1928393787249,482.5137095609054
79,0.079,4636.678364419888,341.1851639693269,482.4929120571831
80,0.08,4636.564471577891,341.1774883661921,482.4721159504539
81,0.081,4636.450575866837,341.1698125694345,482.4513212403409
82,0.082,4636.336677288373,341.16213657917217,482.4305279264658
83,0.083,4636.222775844116,341.1544603955074,482.409736008448
84,0.084,4636.10887153572,341.1467840185473,482.3889454859123
85,0.085,4635.994964364842,341.1391074484123,482.3681563584788
86,0.086,4635.881054333108,341.1314306852082,482.34736862577074
87,0.087,4635.767141442172,341.1237537290484,482.3265822874104
88,0.088,4635.6532256936525,341.1160765800385,482.3057973430189
89,0.089,4635.539307089216,341.10839923829485,482.2850137922212
90,0.09,4635.425385630479,341.10072170392505,482.26423163463807
91,0.091,4635.311461319102,341.0930439770415,482.24345086989536
92,0.092,4635.197534156686,341.08536605775043,482.222671497612
93,0.093,4635.083604144896,341.0776879461645,482.2018935174148
94,0.094,4634.969671285369,341.0700096423945,482.1811169289272
95,0.095,4634.855735579722,341.0623311465511,482.1603417317712
96,0.096,4634.7417970295965,341.0546524587439,482.139567925572
97,0.097,4634.627855636628,341.04697357908515,482.118795509952
98,0.098,4634.513911402437,341.03929450768226,482.0980244845371
99,0.099,4634.399964328668,341.03161524464275,482.0772548489514
100,0.1,4634.286014416945,341.023935790083,482.0564866028189
101,0.101,4634.172061668888,341.0162561441052,482.0357197457636
102,0.102,4634.058106086147,341.00857630682725,482.0149542774124
103,0.103,4633.944147670342,341.0008962783573,481.99419019738895
104,0.104,4633.830186423076,340.9932160588013,481.9734275053172
105,0.105,4633.716222346001,340.98553564827006,481.95266620082447
106,0.106,4633.6022554407455,340.97785504687414,481.9319062835371
107,0.107,4633.488285708912,340.97017425472325,481.9111477530779
108,0.108,4633.374313152143,340.9624932719279,481.8903906090747
109,0.109,4633.260337772052,340.9548120985956,481.8696348511534
110,0.11,4633.14635957025,340.94713073483285,481.8488804789391
111,0.111,4633.0323785483815,340.93944918075704,481.82812749205925
112,0.112,4632.918394708056,340.9317674364732,481.80737589013927
113,0.113,4632.804408050888,340.92408550208927,481.7866256728072
114,0.114,4632.690418578497,340.9164033777143,481.7658768396886
115,0.115,4632.576426292499,340.90872106345785,481.7451293904102
116,0.116,4632.462431194524,340.9010385594299,481.7243833246013
117,0.117,4632.348433286173,340.89335586573964,481.7036386418868
118,0.118,4632.234432569063,340.8856729824963,481.682895341895
119,0.119,4632.12042904482,340.8779899098103,481.6621534242543
120,0.12,4632.006422715046,340.8703066477848,481.6414128885917
121,0.1210000000000001,4631.892413581365,340.86262319653576,481.620673734536
122,0.1220000000000001,4631.778401645371,340.8549395561671,481.5999359617135
